Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
tranqArrowT4_Desc,,,,,,Superior tranquilizer arrow for sedating animals. Requires workbench.,,Hochwertiger Betäubungspfeil zum Betäuben von Tieren. Benötigt eine Werkbank.,Flecha tranquilizante superior para sedar animales. Requiere una mesa de trabajo.,Flèche tranquillisante supérieure pour tranquilliser les animaux. Nécessite un établi.,Freccia tranquillante superiore per sedare gli animali. Richiede un banco da lavoro.,動物を麻酔する上等麻酔矢。作業台が必要。,동물을 마취하는 최상급 마취 화살. 작업대 필요.,Doskonała strzała usypiająca do usypiania zwierząt. Wymaga warsztatu.,Flecha tranquilizante superior para sedar animais. Requer uma bancada.,Превосходная усыпляющая стрела для животных. Требуется верстак.,Hayvanları sakinleştirmek için üstün ok. Çalışma tezgâhı gerektirir.,用于麻醉动物的优质麻醉箭。需要工作台。,用於麻醉動物的優質麻醉箭。需要工作臺。
tranqArrowT5,,,,,,Tranquilizer Arrow T5,,Betäubungspfeil T5,Flecha tranquilizante T5,Flèche tranquillisante T5,Freccia tranquillante T5,麻酔矢 T5,마취 화살 T5,Strzała usypiająca T5,Flecha tranquilizante T5,Усыпляющая стрела T5,Sakinleştirici Ok T5,麻醉箭 T5,麻醉箭 T5
tranqArrowT5_Desc,,,,,,Elite tranquilizer arrow for sedating animals. Requires workbench.,,Elite-Betäubungspfeil zum Betäuben von Tieren. Benötigt eine Werkbank.,Flecha tranquilizante de élite para sedar animales. Requiere una mesa de trabajo.,Flèche tranquillisante d'élite pour tranquilliser les animaux. Nécessite un établi.,Freccia tranquillante d'élite per sedare gli animali. Richiede un banco da lavoro.,動物を麻酔するエリート麻酔矢。作業台が必要。,동물을 마취하는 엘리트 마취 화살. 작업대 필요.,Elitarna strzała usypiająca do usypiania zwierząt. Wymaga warsztatu.,Flecha tranquilizante de elite para sedar animais. Requer uma bancada.,Элитная усыпляющая стрела для животных. Требуется верстак.,Hayvanları sakinleştirmek için elit ok. Çalışma tezgâhı gerektirir.,用于麻醉动物的精英麻醉箭。需要工作台。,用於麻醉動物的精英麻醉箭。需要工作臺。
tranqBoltT1,,,,,,Tranquilizer Bolt T1,,Betäubungsbolzen T1,Saeta tranquilizante T1,Carreau tranquillisant T1,Dardo tranquillante T1,麻酔ボルト T1,마취 볼트 T1,Bełt usypiający T1,Virote tranquilizante T1,Усыпляющий болт T1,Sakinleştirici Arbalet Oku T1,麻醉弩箭 T1,麻醉十字弓箭 T1
tranqBoltT1_Desc,,,,,,Basic tranquilizer bolt for sedating animals.,,Einfacher Betäubungsbolzen zum Betäuben von Tieren.,Saeta tranquilizante básica para sedar animales.,Carreau tranquillisant basique pour tranquilliser les animaux.,Dardo tranquillante base per sedare gli animali.,動物を麻酔する基本の麻酔ボルト。,동물을 마취하는 기본 마취 볼트.,Podstawowy bełt usypiający do usypiania zwierząt.,Virote tranquilizante básico para sedar animais.,Базовый усыпляющий болт для животных.,Hayvanları sakinleştirmek için temel arbalet oku.,用于麻醉动物的基础麻醉弩箭。,用於麻醉動物的基礎麻醉十字弓箭。
tranqBoltT2,,,,,,Tranquilizer Bolt T2,,Betäubungsbolzen T2,Saeta tranquilizante T2,Carreau tranquillisant T2,Dardo tranquillante T2,麻酔ボルト T2,마취 볼트 T2,Bełt usypiający T2,Virote tranquilizante T2,Усыпляющий болт T2,Sakinleştirici Arbalet Oku T2,麻醉弩箭 T2,麻醉十字弓箭 T2
tranqBoltT2_Desc,,,,,,Improved tranquilizer bolt for sedating animals.,,Verbesserter Betäubungsbolzen zum Betäuben von Tieren.,Saeta tranquilizante mejorada para sedar animales.,Carreau tranquillisant amélioré pour tranquilliser les animaux.,Dardo tranquillante migliorato per sedare gli animali.,動物を麻酔する改良麻酔ボルト。,동물을 마취하는 개선된 마취 볼트.,Ulepszony bełt usypiający do usypiania zwierząt.,Virote tranquilizante aprimorado para sedar animais.,Улучшенный усыпляющий болт для животных.,Hayvanları sakinleştirmek için geliştirilmiş arbalet oku.,用于麻醉动物的改良麻醉弩箭。,用於麻醉動物的改良麻醉十字弓箭。
tranqBoltT3,,,,,,Tranquilizer Bolt T3,,Betäubungsbolzen T3,Saeta tranquilizante T3,Carreau tranquillisant T3,Dardo tranquillante T3,麻酔ボルト T3,마취 볼트 T3,Bełt usypiający T3,Virote tranquilizante T3,Усыпляющий болт T3,Sakinleştirici Arbalet Oku T3,麻醉弩箭 T3,麻醉十字弓箭 T3
tranqBoltT3_Desc,,,,,,Advanced tranquilizer bolt for sedating animals. Requires workbench.,,Fortschrittlicher Betäubungsbolzen zum Betäuben von Tieren. Benötigt eine Werkbank.,Saeta tranquilizante avanzada para sedar animales. Requiere una mesa de trabajo.,Carreau tranquillisant avancé pour tranquilliser les animaux. Nécessite un établi.,Dardo tranquillante avanzato per sedare gli animali. Richiede un banco da lavoro.,動物を麻酔する上級麻酔ボルト。作業台が必要。,동물을 마취하는 고급 마취 볼트. 작업대 필요.,Zaawansowany bełt usypiający do usypiania zwierząt. Wymaga warsztatu.,Virote tranquilizante avançado para sedar animais. Requer uma bancada.,Продвинутый усыпляющий болт для животных. Требуется верстак.,Hayvanları sakinleştirmek için gelişmiş arbalet oku. Çalışma tezgâhı gerektirir.,用于麻醉动物的高级麻醉弩箭。需要工作台。,用於麻醉動物的高級麻醉十字弓箭。需要工作臺。
tranqBoltT4,,,,,,Tranquilizer Bolt T4,,Betäubungsbolzen T4,Saeta tranquilizante T4,Carreau tranquillisant T4,Dardo tranquillante T4,麻酔ボルト T4,마취 볼트 T4,Bełt usypiający T4,Virote tranquilizante T4,Усыпляющий болт T4,Sakinleştirici Arbalet Oku T4,麻醉弩箭 T4,麻醉十字弓箭 T4
tranqBoltT4_Desc,,,,,,Superior tranquilizer bolt for sedating animals. Requires workbench.,,Hochwertiger Betäubungsbolzen zum Betäuben von Tieren. Benötigt eine Werkbank.,Saeta tranquilizante superior para sedar animales. Requiere una mesa de trabajo.,Carreau tranquillisant supérieur pour tranquilliser les animaux. Nécessite un établi.,Dardo tranquillante superiore per sedare gli animali. Richiede un banco da lavoro.,動物を麻酔する上等麻酔ボルト。作業台が必要。,동물을 마취하는 최상급 마취 볼트. 작업대 필요.,Doskonały bełt usypiający do usypiania zwierząt. Wymaga warsztatu.,Virote tranquilizante superior para sedar animais. Requer uma bancada.,Превосходный усыпляющий болт для животных. Требуется верстак.,Hayvanları sakinleştirmek için üstün arbalet oku. Çalışma tezgâhı gerektirir.,用于麻醉动物的优质麻醉弩箭。需要工作台。,用於麻醉動物的優質麻醉十字弓箭。需要工作臺。
tranqBoltT5,,,,,,Tranquilizer Bolt T5,,Betäubungsbolzen T5,Saeta tranquilizante T5,Carreau tranquillisant T5,Dardo tranquillante T5,麻酔ボルト T5,마취 볼트 T5,Bełt usypiający T5,Virote tranquilizante T5,Усыпляющий болт T5,Sakinleştirici Arbalet Oku T5,麻醉弩箭 T5,麻醉十字弓箭 T5
tranqBoltT5_Desc,,,,,,Elite tranquilizer bolt for sedating animals. Requires workbench.,,Elite-Betäubungsbolzen zum Betäuben von Tieren. Benötigt eine Werkbank.,Saeta tranquilizante de élite para sedar animales. Requiere una mesa de trabajo.,Carreau tranquillisant d'élite pour tranquilliser les animaux. Nécessite un établi.,Dardo tranquillante d'élite per sedare gli animali. Richiede un banco da lavoro.,動物を麻酔するエリート麻酔ボルト。作業台が必要。,동물을 마취하는 엘리트 마취 볼트. 작업대 필요.,Elitarny bełt usypiający do usypiania zwierząt. Wymaga warsztatu.,Virote tranquilizante de elite para sedar animais. Requer uma bancada.,Элитный усыпляющий болт для животных. Требуется верстак.,Hayvanları sakinleştirmek için elit arbalet oku. Çalışma tezgâhı gerektirir.,用于麻醉动物的精英麻醉弩箭。需要工作台。,用於麻醉動物的精英麻醉十字弓箭。需要工作臺。
itemSedativeT1,,,,,,Sedative T1,,Sedativum T1,Sedante T1,Sédatif T1,Sedativo T1,鎮静剤 T1,진정제 T1,Środek uspokajający T1,Sedativo T1,Седативное средство T1,Sakinleştirici T1,镇静剂 T1,鎮靜劑 T1
itemSedativeT1_Desc,,,,,,Basic sedative for crafting tranquilizer arrows and bolts. Requires chemistry station.,,Einfaches Sedativum zur Herstellung von Betäubungspfeilen und -bolzen. Benötigt eine Chemiestation.,Sedante básico para fabricar flechas y saetas tranquilizantes. Requiere una estación de química.,Sédatif basique pour fabriquer des flèches et carreaux tranquillisants. Nécessite un atelier de chimie.,Sedativo base per creare frecce e dardi tranquillanti. Richiede un laboratorio chimico.,麻酔矢・ボルト作成用の基本鎮静剤。化学実験ステーションが必要。,마취 화살과 볼트 제작용 기본 진정제. 화학 작업기 필요.,Podstawowy środek uspokajający do tworzenia strzał i bełtów usypiających. Wymaga laboratorium chemicznego.,Sedativo básico para fabricar flechas e virotes tranquilizantes. Requer uma estação de química.,Базовое седативное для изготовления усыпляющих стрел и болтов. Требуется химлаборатория.,Sakinleştirici ok ve arbalet oku üretmek için temel sakinleştirici. Kimya İstasyonu gerektirir.,用于制作麻醉箭和弩箭的基础镇静剂。需要化学工作站。,用於製作麻醉箭和十字弓箭的基礎鎮靜劑。需要化學工作站。
itemSedativeT2,,,,,,Sedative T2,,Sedativum T2,Sedante T2,Sédatif T2,Sedativo T2,鎮静剤 T2,진정제 T2,Środek uspokajający T2,Sedativo T2,Седативное средство T2,Sakinleştirici T2,镇静剂 T2,鎮靜劑 T2
itemSedativeT2_Desc,,,,,,Improved sedative for crafting tranquilizer arrows and bolts. Requires chemistry station.,,Verbessertes Sedativum zur Herstellung von Betäubungspfeilen und -bolzen. Benötigt eine Chemiestation.,Sedante mejorado para fabricar flechas y saetas tranquilizantes. Requiere una estación de química.,Sédatif amélioré pour fabriquer des flèches et carreaux tranquillisants. Nécessite un atelier de chimie.,Sedativo migliorato per creare frecce e dardi tranquillanti. Richiede un laboratorio chimico.,麻酔矢・ボルト作成用の改良鎮静剤。化学実験ステーションが必要。,마취 화살과 볼트 제작용 개선된 진정제. 화학 작업기 필요.,Ulepszony środek uspokajający do tworzenia strzał i bełtów usypiających. Wymaga laboratorium chemicznego.,Sedativo aprimorado para fabricar flechas e virotes tranquilizantes. Requer uma estação de química.,Улучшенное седативное для изготовления усыпляющих стрел и болтов. Требуется химлаборатория.,Sakinleştirici ok ve arbalet oku üretmek için geliştirilmiş sakinleştirici. Kimya İstasyonu gerektirir.,用于制作麻醉箭和弩箭的改良镇静剂。需要化学工作站。,用於製作麻醉箭和十字弓箭的改良鎮靜劑。需要化學工作站。
itemSedativeT3,,,,,,Sedative T3,,Sedativum T3,Sedante T3,Sédatif T3,Sedativo T3,鎮静剤 T3,진정제 T3,Środek uspokajający T3,Sedativo T3,Седативное средство T3,Sakinleştirici T3,镇静剂 T3,鎮靜劑 T3
