Key,English
challengeKillAnyZombiesDesc,"[DECEA3]Darkseekers[-] are a constant threat to your day-to-day survival.\n\nNot only a direct danger, they can destroy [DECEA3]Blocks[-] and consume killed [DECEA3]Animals[-].\n\nAs your [DECEA3]Gamestage[-] increases, stronger, faster, and more challenging [DECEA3]Darkseekers[-] will appear.\n\nNo place is safe, as [DECEA3]Darkseekers[-] inhabit all biomes, with [DECEA3]Downtown[-] and [DECEA3]Commercial[-] areas hosting the highest concentrations, while other areas may be less populated. \n\nKill a lot of [DECEA3]Darkseekers[-]."
challengeKillAnyZombiesShort,Kill lots of Darkseekers.
challengeKillLumberjacks,Kill Male Darkseekers
challengeKillLumberjacksDesc,"[DECEA3]Male Darkseekers[-] are intelligent, strong, and quick, with heightened senses.\n\nKill some [DECEA3]Male Darkseekers[-]."
challengeKillLumberjacksShort,Kill some Male Darkseekers.
challengeKillSpiderZombies,Kill Female Darkseekers
challengeKillSpiderZombiesDesc,"[DECEA3]Female Darkseekers[-], like their male counterparts, are strong, quick, and smart.\n\nKill some [DECEA3]Female Darkseekers[-]."
challengeKillSpiderZombiesShort,Kill some Female Darkseekers.
challengeKillBigMama,Kill Female Darkseekers
challengeKillBigMamaDesc,"These [DECEA3]Female Darkseekers[-] are a little tougher than other females, but just as quick and intelligent.\n\nKill some [DECEA3]Female Darkseekers[-]."
challengeKillBigMamaShort,Kill some Female Darkseekers.
challengeKillTouristZombies,Kill Alpha Darkseekers
challengeKillTouristZombiesDesc,"[DECEA3]Alpha Darkseekers[-] possess superhuman strength, speed, agility and senses.\n\nKill some [DECEA3]Alpha Darkseekers[-]."
challengeKillTouristZombiesShort,Kill some Alpha Darkseekers.
challengeKillMutated,Kill Radiated Alpha Darkseekers
challengeKillMutatedDesc,"[DECEA3]Radiated Alpha Darkseekers[-] are much tougher than their non-radiated variants, and will regenerate health over time. Easily spotted by their glowing green skin.\n\nKill some [DECEA3]Radiated Alpha Darkseekers[-]."
challengeKillMutatedShort,Kill some Radiated Alpha Darkseekers.
challengeKillCops,Kill Spitting Darkseekers
challengeKillCopsDesc,"[DECEA3]Spitting Darkseekers[-] hit hard in melee combat and can also attack from range with a stream of [DECEA3]Vomit[-].\n\nAfter taking major damage, they will charge toward their enemy and [DECEA3]Explode[-], dealing heavy damage to nearby [DECEA3]Blocks[-] and any [DECEA3]Players[-] or [DECEA3]Zombies[-] caught in the blast.\n\nKill some [DECEA3]Spitting Darkseekers[-]."
challengeKillCopsShort,Kill some Spitting Darkseekers.
challengeKillDemolitions,Kill Elite Darkseekers
challengeKillDemolitionsDesc,"[DECEA3]Elite Darkseekers[-] are the toughest of the Alphas. Characterized by their glowing blue or orange skin, they are tougher, move faster, hit harder, and regenerate health over time\n\nKill some [DECEA3]Elite Darkseekers[-]."
challengeKillDemolitionsShort,Kill some Elite Darkseekers.

xuiZombies,Zombies

animalGermanShepherd,Samantha
animalGermanShepherdCompanion,Samantha
germanShepherdSpawnCube,"Samantha (Companion)"
germanShepherdSpawnCubeDesc,Place this item to summon and recruit your German Shepherd.

zombieDarkseekerSlimMale,Darkseeker
zombieDarkseekerSlimMaleFeral,Feral Darkseeker
zombieDarkseekerSlimMaleRadiated,Radiated Darkseeker
zombieDarkseekerSlimMaleCharged,Charged Darkseeker
zombieDarkseekerSlimMaleInfernal,Infernal Darkseeker
zombieDarkseekerSlimFemale,Darkseeker
zombieDarkseekerSlimFemaleFeral,Feral Darkseeker
zombieDarkseekerSlimFemaleRadiated,Radiated Darkseeker
zombieDarkseekerSlimFemaleCharged,Charged Darkseeker
zombieDarkseekerNormalMale,Darkseeker
zombieDarkseekerNormalMaleFeral,Feral Darkseeker
zombieDarkseekerNormalMaleRadiated,Radiated Darkseeker
zombieDarkseekerNormalMaleCharged,Charged Darkseeker
zombieDarkseekerNormalMaleInfernal,Infernal Darkseeker
zombieDarkseekerNormalFemale,Darkseeker
zombieDarkseekerNormalFemaleFeral,Feral Darkseeker
zombieDarkseekerNormalFemaleRadiated,Radiated Darkseeker
zombieDarkseekerNormalFemaleCharged,Charged Darkseeker
zombieDarkseekerNormalFemaleInfernal,Infernal Darkseeker
zombieDarkseekerAlpha,Alpha
zombieDarkseekerAlphaFeral,Feral Alpha
zombieDarkseekerAlphaRadiated,Radiated Alpha 
zombieDarkseekerAlphaCharged,Charged Alpha 
zombieDarkseekerAlphaInfernal,Infernal Alpha 
zombieDarkseekerSpitter,Spitter
zombieDarkseekerSpitterFeral,Feral Spitter
zombieDarkseekerSpitterRadiated,Radiated Spitter
zombieDarkseekerSpitterInfernal,Infernal Spitter
zombieDarkseekerCrawler,Crawler
zombieDarkseekerCrawlerFeral,Feral Crawler
zombieDarkseekerSpider,Spider
zombieDarkseekerSpiderFeral,Feral Spider
zombieDarkseekerSpiderRadiated,Radiated Spider
zombieDarkseekerSpiderCharged,Charged Spider
zombieDarkseekerSpiderInfernal,Infernal Spider
